,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Year,population,county,year
9163,INV-10075600062,01/29/2018,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77.0,POLK,1032200.0,Imported Flavored Vodka,370,PERNOD RICARD USA,34029,Absolut Citron (lemon Vodka),12,1000,14.99,22.49,24,539.76,24.0,6.34,2018,,,
9164,INV-10157700034,02/01/2018,5127,Price Chopper  /  Ingersoll,3425 Ingersoll Ave,Des Moines,50312.0,POINT (-93.663337 41.586313),77.0,POLK,1031100.0,American Vodkas,195,Swell Liquor LLC,38056,Swell Vodka,12,750,6.0,9.0,12,108.0,9.0,2.38,2018,,,
9165,INV-10123700043,01/31/2018,3990,Cork and Bottle / Oskaloosa,309 A Ave West,Oskaloosa,52577.0,POINT (-92.648153 41.296228),62.0,MAHASKA,1081300.0,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75208,Kinky Liqueur Mini,6,500,4.84,7.26,2,14.52,1.0,0.26,2018,22018,,
9166,INV-10100700023,01/30/2018,3769,Wal-Mart 0753 / Cedar Fall,525 Brandilynn Blvd,Cedar Falls,50613.0,POINT (-92.440394 42.485042),7.0,BLACK HAWK,1031100.0,American Vodkas,297,Laird & Company,35916,Five O'clock Vodka,12,750,3.37,5.06,36,182.16,27.0,7.13,2018,131723,,
9167,INV-10095100018,01/30/2018,3841,Hartig Drug Company #2 / Locust,157 Locust St,Dubuque,52001.0,POINT (-90.665439 42.495308),31.0,DUBUQUE,1031100.0,American Vodkas,255,Infinium Spirits,37886,Seagrams Vodka,12,750,5.38,8.07,2,16.14,1.5,0.4,2018,,,
9168,INV-10101000117,01/30/2018,2564,Hy-Vee Food Store #4 / Waterloo,4000 University,Waterloo,50701.0,POINT (-92.403843 42.505197),7.0,BLACK HAWK,1081300.0,American Cordials & Liqueur,305,Mhw LTD,557,Tippy Cow 50ml Sampler,15,400,4.0,6.0,15,90.0,6.0,1.59,2018,131723,,
9169,INV-10125500164,01/31/2018,2625,Hy-Vee Wine & Spirits #2 / Davenport,3301 W Kimberly Rd,Davenport,52804.0,,82.0,SCOTT,1022100.0,Mixto Tequila,395,PROXIMO,89198,Jose Cuervo Especial Reposado Tequila,6,1750,21.0,31.5,3,94.5,5.25,1.39,2018,,,
9170,INV-10066700037,01/29/2018,2558,Hy-Vee Food Store / Mount Pleasant,1700 E Washington,Mount Pleasant,52641.0,POINT (-91.52888 40.962331000000006),44.0,HENRY,1031100.0,American Vodkas,297,Laird & Company,35916,Five O'clock Vodka,12,750,3.37,5.06,12,60.72,9.0,2.38,2018,,,
9171,INV-10157000005,02/01/2018,4997,Downtown Pantry,"218, 6th Ave #101",Des Moines,50309.0,POINT (-93.62452 41.585651),77.0,POLK,1082000.0,Imported Cordials & Liqueurs,192,"Mast-Jagermeister US, Inc",65254,Jagermeister Liqueur,24,375,6.52,9.78,4,39.12,1.5,0.4,2018,,,
9172,INV-10094500040,01/30/2018,4106,Hartig Drug Company #3/JFK,2255 John F Kennedy Rd,Dubuque,52002.0,POINT (-90.72051800000001 42.511352),31.0,DUBUQUE,1031200.0,American Flavored Vodka,259,Heaven Hill Brands,40363,Burnett's Tropical Punch,12,750,4.48,6.72,2,13.44,1.5,0.4,2018,,,
9173,INV-10145600035,02/01/2018,3456,Quick Shop / Clear Lake,904 N 8th St,Clear Lake,50428.0,POINT (-93.378772 43.142868),17.0,CERRO GORD,1081300.0,American Cordials & Liqueur,434,LUXCO INC,76487,Paramount Amaretto,12,1000,4.05,6.08,4,24.32,4.0,1.06,2018,,,
9174,INV-10162000004,02/01/2018,3756,Main Street Liquors / Manning,316 Main St,Manning,51455.0,POINT (-95.065122 41.908573),14.0,CARROLL,1012100.0,Canadian Whiskies,85,Brown Forman Corp.,12478,Canadian Mist Canadian Why Pet,6,1750,11.06,16.59,6,99.54,10.5,2.77,2018,,,
9175,INV-10106400020,01/30/2018,3981,Wal-Mart 1152 / Sioux Center,255 16th St SW,Sioux Center,51250.0,POINT (-96.179835 43.060881),84.0,SIOUX,1062400.0,Spiced Rum,260,DIAGEO AMERICAS,43302,Captain Morgan Black Spiced,12,750,10.0,15.0,12,180.0,9.0,2.38,2018,,,
9176,INV-10159100010,02/01/2018,4518,Casey's General Store #2824 / WDM,6630 Mills Civic Parkway,West Des Moines,50266.0,POINT (-93.799283 41.561791),77.0,POLK,1081400.0,American Schnapps,65,Jim Beam Brands,82846,Dekuyper Luscious Peachtree,12,750,6.47,9.71,3,29.13,2.25,0.59,2018,,,
9177,INV-10126900026,01/31/2018,3715,Kimberly Mart / Davenport,1714 E Kimberly Rd,Davenport,52807.0,POINT (-90.550657 41.556966),82.0,SCOTT,1052100.0,Imported Brandies,389,REMY COINTREAU USA INC,49186,Remy Martin VSOP,12,750,23.48,35.22,2,67.44,1.5,0.4,2018,,,
9178,INV-10119900056,01/31/2018,2500,Hy-Vee Food Store #1 / Ames,3800 W Lincoln Way,Ames,50010.0,,85.0,STORY,1011100.0,Blended Whiskies,65,Jim Beam Brands,22787,Beam's 8 Star Bl Whiskey,12,1000,4.19,6.29,12,75.48,12.0,3.17,2018,,,
9179,INV-10140000068,02/01/2018,2567,Hy-Vee Drugstore / Davenport,2200 West Kimberly,Davenport,52806.0,POINT (-90.608201 41.560663),82.0,SCOTT,1081400.0,American Schnapps,434,LUXCO INC,80571,Arrow Peppermint Schnapps Mini,12,500,4.55,6.83,1,6.83,0.5,0.13,2018,,,
9180,INV-10088600002,01/30/2018,4634,Kwik Shop #565 / Cedar Rapids,"4201, Center Point Rd NE",Cedar Rapids,52402.0,POINT (-91.665659 42.021931),57.0,LINN,1031100.0,American Vodkas,297,Laird & Company,35914,Five O'clock Vodka,24,375,1.93,2.9,24,69.6,9.0,2.38,2018,,,
9181,INV-10062000034,01/29/2018,3562,Wal-Mart 0797 / W Burlington,324 West Agency Rd,West Burlington,52655.0,POINT (-91.158407 40.813125),29.0,DES MOINES,1041100.0,American Dry Gins,55,SAZERAC NORTH AMERICA,29710,Caliber Gin,12,750,3.21,4.82,12,57.84,9.0,2.38,2018,,,
9182,INV-10048800004,01/29/2018,5244,The Ox & Wren Spirits and Gifts,708 2nd  AVE  SE,Cresco,52136.0,POINT (-92.106529 43.371131),45.0,HOWARD,1062100.0,Gold Rum,35,BACARDI USA INC,43040,Bacardi Gold Rum PET,6,1750,15.0,22.5,6,135.0,10.5,2.77,2018,,,
9183,INV-10055100117,01/29/2018,2643,Hy-Vee Wine and Spirits / Waterloo,2126 Kimball Ave,Waterloo,50701.0,,7.0,BLACK HAWK,1012200.0,Scotch Whiskies,370,PERNOD RICARD USA,4716,Chivas Regal 12 Yr,12,750,18.49,27.74,2,55.48,1.5,0.4,2018,131723,,
9184,INV-10052300098,01/29/2018,5236,"Giggle Juice Liquor Station, LLC",600 W Main St,Anamosa,52205.0,POINT (-91.29083400000002 42.108203),53.0,JONES,1082200.0,Imported Schnapps,421,SAZERAC COMPANY  INC,69657,Dr. Mcgillicuddy's Mentholmint,12,1000,11.0,16.5,2,33.0,2.0,0.53,2018,,,
9185,INV-10095800027,01/30/2018,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001.0,POINT (-90.666497 42.49721900000001),31.0,DUBUQUE,1031100.0,American Vodkas,301,FIFTH GENERATION INC,38176,Titos Handmade Vodka,12,750,9.64,14.46,24,347.04,18.0,4.76,2018,,,
9186,INV-10146300060,02/01/2018,2515,Hy-Vee Food Store #1 / Mason City,2400 4th St SW,Mason City,50401.0,POINT (-93.23551 43.149557),17.0,CERRO GORD,1031200.0,American Flavored Vodka,434,LUXCO INC,35699,Pearl Cucumber Vodka,12,750,7.0,10.5,2,21.0,1.5,0.4,2018,,,
9187,INV-10132000051,01/31/2018,2594,Hy-Vee Food Store / Sioux City,4500 Sergeant Road,Sioux City,51106.0,POINT (-96.346969 42.447396),97.0,WOODBURY,1052100.0,Imported Brandies,65,Jim Beam Brands,47786,Courvoisier Vs Cognac,12,750,16.79,25.19,1,25.19,0.75,0.2,2018,,,
