,County,population,Year,county,year
516,HOWARD,9566,2010,,
517,SHELBY,13235,1991,,
518,CASS,14794,1999,,
519,VAN BUREN,7671,2003,,
520,CLINTON,50635,1998,,
521,DALLAS,74949,2013,,
522,WARREN,42923,2005,,
523,PLYMOUTH,24687,2004,,
524,ALLAMAKEE,14421,2007,,
525,CLARKE,9748,2020,,
526,CEDAR,18000,2006,,
527,MONTGOMERY,11980,1992,,
528,WRIGHT,14388,1993,,
529,APPANOOSE,12780,2008,,
530,WEBSTER,38574,2005,,
531,VAN BUREN,7690,2008,,
532,SAC,9705,2018,,
533,CALHOUN,9845,2014,,
534,LUCAS,8610,2015,,
535,LEE,38687,1990,,
536,CARROLL,21415,1991,,
537,MAHASKA,22309,2002,,
538,WAYNE,6936,1997,,
539,ADAMS,4493,1999,,
540,LOUISA,11153,2018,,
541,SAC,10048,2014,,
542,DELAWARE,17764,2010,,
543,ADAIR,7468,2012,,
544,HOWARD,9548,2012,,
545,BUENA VISTA,19604,2006,,
546,PLYMOUTH,24578,1999,,
547,RINGGOLD,4894,2019,,
548,LYON,11757,2012,,
549,O'BRIEN,14257,2005,,
550,CRAWFORD,16591,2005,,
551,IDA,8321,1994,,
552,HARRISON,14046,2016,,
553,WORTH,7952,1996,,
554,DALLAS,44324,2002,,
555,BREMER,23157,1994,,
556,PALO ALTO,10511,1995,,
557,MITCHELL,10897,1992,,
558,GRUNDY,12227,2006,,
559,SIOUX,30965,1994,,
560,CLINTON,46437,2018,,
561,IOWA,16281,2013,,
562,TAMA,17929,2004,,
563,IOWA,16355,2010,,
564,HAMILTON,16405,1999,,
565,DECATUR,8249,2011,,
566,WARREN,41010,2001,,
567,BREMER,23460,2009,,
568,PAGE,16976,2000,,
569,BUTLER,14966,2011,,
570,DICKINSON,16473,2001,,
571,MONTGOMERY,11188,2003,,
572,DECATUR,7645,2020,,
573,CLINTON,51405,1993,,
574,WINNESHIEK,21236,2001,,
575,BUENA VISTA,19826,2018,,
576,JONES,19444,1990,,
577,LEE,38544,1999,,
578,CLINTON,46429,2019,,
579,SCOTT,158677,2002,,
580,CERRO GORDO,46773,1991,,
581,WEBSTER,37069,2014,,
582,CHICKASAW,12268,2006,,
583,SCOTT,168347,2012,,
584,POLK,474277,2016,,
585,O'BRIEN,13898,2008,,
586,POCAHONTAS,7097,2014,,
587,LUCAS,8778,2012,,
588,EMMET,11722,1993,,
589,MONONA,9511,2004,,
590,BUENA VISTA,20194,2001,,
591,FAYETTE,22211,1996,,
592,CALHOUN,10522,2003,,
593,BUCHANAN,21175,2019,,
594,STORY,74497,1992,,
595,DALLAS,33036,1995,,
596,LINN,202314,2006,,
597,HARDIN,18002,2004,,
598,WAYNE,6267,2008,,
599,WEBSTER,40137,1994,,
600,HENRY,20243,2011,,
601,BENTON,23962,1996,,
602,BUTLER,14595,2008,,
603,WASHINGTON,20512,1998,,
604,KOSSUTH,14813,2019,,
605,WRIGHT,12878,2008,,
606,BLACK HAWK,124155,1991,,
607,DAVIS,8555,2004,,
608,LOUISA,12172,2001,,
609,IDA,6980,2007,,
610,CASS,13572,2013,,
611,MUSCATINE,40831,1993,,
612,JOHNSON,96119,1990,,
613,CHEROKEE,13381,1998,,
614,DES MOINES,40742,2004,,
615,POLK,444671,2012,,
616,SIOUX,32017,2007,,
617,MITCHELL,10676,2015,,
618,KOSSUTH,15543,2010,,
619,WRIGHT,14269,1990,,
620,SAC,9966,2015,,
621,HANCOCK,12148,1996,,
622,AUDUBON,7038,1994,,
623,RINGGOLD,5416,1991,,
624,CHEROKEE,12347,2003,,
625,LUCAS,8697,2013,,
626,JACKSON,20196,1996,,
627,BENTON,25625,2018,,
628,LYON,11914,1993,,
629,MILLS,13305,1993,,
630,WEBSTER,38013,2010,,
631,JONES,20158,2001,,
632,HARDIN,19099,1991,,
633,GRUNDY,12453,2010,,
634,HUMBOLDT,10492,1995,,
635,DALLAS,29755,1990,,
636,DUBUQUE,86988,1992,,
637,FLOYD,15910,2015,,
638,JASPER,34829,1991,,
639,GUTHRIE,11241,1996,,
640,WEBSTER,35904,2019,,
641,BOONE,25742,1997,,
642,WAYNE,7017,1993,,
643,POWESHIEK,18914,2010,,
